
> rearvy2.0@0.1.2 dev:web
> cd website && npm run dev


> rearvy-website@0.1.2 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.20.10.2:3000
- Environments: .env.local
✓ Ready in 1112ms
Creating turbopack project { dir: 'C:\\Users\\sinaa\\rearvy2.0\\website', testMode: true }
 POST /api/internal/automaton 200 in 410ms (next.js: 29ms, application-code: 381ms)
 POST /api/internal/automaton 200 in 412ms (next.js: 54ms, application-code: 358ms)
 POST /api/internal/automaton 200 in 431ms (next.js: 19ms, application-code: 412ms)
 POST /api/internal/automaton 200 in 430ms (next.js: 64ms, application-code: 366ms)
 POST /api/internal/automaton 200 in 426ms (next.js: 118ms, application-code: 308ms)
 POST /api/internal/automaton 200 in 430ms (next.js: 110ms, application-code: 320ms)
 POST /api/internal/automaton 200 in 433ms (next.js: 100ms, application-code: 333ms)
 POST /api/internal/automaton 200 in 437ms (next.js: 128ms, application-code: 310ms)
 POST /api/internal/automaton 200 in 438ms (next.js: 159ms, application-code: 278ms)
 POST /api/internal/automaton 200 in 446ms (next.js: 92ms, application-code: 354ms)
 POST /api/internal/automaton 200 in 443ms (next.js: 139ms, application-code: 304ms)
 POST /api/internal/automaton 200 in 451ms (next.js: 73ms, application-code: 379ms)
 POST /api/internal/automaton 200 in 453ms (next.js: 84ms, application-code: 369ms)
 POST /api/internal/automaton 200 in 447ms (next.js: 149ms, application-code: 298ms)
 POST /api/internal/automaton 200 in 449ms (next.js: 170ms, application-code: 279ms)
 POST /api/internal/automaton 200 in 316ms (next.js: 79ms, application-code: 237ms)
 POST /api/internal/automaton 200 in 323ms (next.js: 51ms, application-code: 272ms)
 POST /api/internal/automaton 200 in 326ms (next.js: 33ms, application-code: 293ms)
 POST /api/internal/automaton 200 in 326ms (next.js: 61ms, application-code: 266ms)
 POST /api/internal/automaton 200 in 333ms (next.js: 14ms, application-code: 318ms)
 POST /api/internal/automaton 200 in 328ms (next.js: 88ms, application-code: 240ms)
